 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","318.00","-0.72%","318.00","48,88,125","66,303.64","58.79","-2.17","501.80","301.20","-0.36%","-3.34%","-26.32%","314.33%","929.13%","6.99","0.54%","19.39%","14.76%","6.98","328.99","353.55","39.89","67.60%","81.63%"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,311.00","-0.79%","1,319.00","1,80,758","66,061.75","21.86","12.18","1,640.00","1,188.00","2.49%","0.52%","-11.60%","185.00%","293.04%","3.54","1.44%","15.05%","14.83%","47.61","1,310.83","1,358.86","48.33","73.97%","86.82%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","1,379.70","-1.03%","1,386.00","2,67,255","65,961.89","61.78","20.71","1,506.50","919.10","-4.18%","10.58%","13.35%","60.18%","121.98%","7.12","0.61%","12.70%","16.45%","22.02","1,426.37","1,263.97","37.98","76.00%","87.50%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","358.75","-0.06%","354.05","69,43,777","65,889.17","10.78","89.67","374.30","137.75","28.82%","58.72%","70.39%","327.34%","687.60%","3.32","2.93%","10.93%","36.82%","10.50","292.00","217.04","66.53","71.97%","83.85%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,129.50","-1.07%","1,133.90","4,37,181","65,601.54","19.36","17.88","1,278.60","1,010.00","-7.80%","2.74%","-6.04%","153.99%","21.45%","1.89","-","10.62%","15.74%","61.22","1,200.60","1,144.99","35.55","76.00%","87.50%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,125.40","0.45%","1,118.00","3,38,079","64,951.70","55.00","173.46","1,382.00","767.60","-11.23%","-8.47%","8.36%","120.36%","409.23%","10.38","0.20%","17.56%","19.22%","15.45","1,271.08","1,147.73","24.34","70.00%","70.00%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","847.85","-1.00%","850.25","15,38,538","64,009.13","62.33","-66.76","1,104.30","577.00","-4.83%","-22.43%","29.74%","198.22%","407.09%","6.86","0.12%","7.54%","9.86%","8.50","906.89","858.04","36.09","75.00%","87.50%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","10,482.00","-1.87%","10,682.00","5,00,889","63,610.80","38.00","10.11","18,471.00","10,591.00","-21.00%","-34.79%","-40.31%","198.12%","246.94%","15.96","0.07%","19.86%","41.33%","72.30","13,330.32","15,326.18","26.23","70.00%","84.89%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","46.07","-0.58%","46.30","4,38,45,624","63,172.48","19.89","1.88","74.30","46.15","-12.40%","-13.22%","-20.69%","360.70%","666.56%","8.04","-","262.69%","24.15%","0.68","53.16","58.36","24.33","50.00%","84.39%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","1,750.40","-1.82%","1,760.00","5,13,877","62,592.77","45.31","-2.17","1,993.00","1,402.50","-4.42%","5.68%","8.83%","150.94%","348.61%","5.90","0.14%","13.29%","10.43%","61.08","1,794.73","1,628.54","37.09","73.22%","86.72%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,423.10","-0.11%","1,424.60","7,70,656","61,297.22","72.63","-2.17","1,814.00","1,048.05","-12.38%","-17.14%","-2.76%","221.46%","389.88%","3.87","0.13%","10.40%","8.96%","33.42","1,633.74","1,573.35","28.12","72.15%","85.27%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","146.22","0.56%","145.00","1,04,40,724","60,396.54","23.49","23.12","153.12","99.15","16.13%","12.62%","33.08%","59.80%","119.06%","1.03","1.10%","3.98%","6.70%","9.38","138.42","129.78","53.70","73.43%","85.59%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","2,324.00","-2.06%","2,380.00","21,21,910","59,260.10","86.97","35.87","2,499.00","881.63","12.74%","26.37%","92.80%","638.25%","594.50%","29.01","0.25%","10.07%","24.11%","34.19","2,098.84","1,667.10","64.10","72.84%","75.00%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","700.35","-3.19%","715.30","52,25,235","59,061.83","25.77","22.12","812.20","531.60","-6.81%","2.87%","26.68%","-1.04%","26.68%","1.91","0.78%","-5.74%","7.50%","-","764.70","697.48","32.69","76.00%","87.50%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,113.60","-0.01%","2,109.10","2,41,839","57,486.88","43.40","46.58","2,975.00","2,033.00","0.12%","-5.82%","-21.97%","40.90%","36.94%","36.37","2.41%","70.62%","111.07%","51.99","2,131.20","2,321.38","50.71","78.00%","87.50%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,605.80","-1.16%","1,610.50","2,51,397","55,418.53","279.58","35.87","1,752.20","950.00","-4.98%","4.73%","49.26%","92.14%","124.52%","10.57","-","8.99%","6.69%","11.00","1,682.60","1,541.31","38.16","75.00%","87.50%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,516.00","-0.51%","1,528.30","8,00,308","55,122.10","24.78","-2.17","2,020.00","1,451.95","-9.51%","-10.78%","-24.31%","82.31%","160.32%","3.31","0.52%","13.92%","16.69%","60.22","1,672.00","1,694.01","28.63","75.70%","87.50%"
"Coforge","https://scanx.trade/company/coforge-ltd","1,625.00","-4.06%","1,693.70","29,39,035","54,444.29","42.24","32.67","1,994.00","1,194.01","-11.94%","-7.00%","-6.20%","98.07%","210.10%","8.24","0.22%","22.42%","14.67%","114.98","1,792.78","1,719.12","44.63","75.26%","86.32%"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","1,923.70","-0.58%","1,927.00","2,42,638","54,286.97","54.06","17.88","2,284.80","1,275.50","-3.43%","3.83%","27.94%","360.33%","277.94%","5.70","0.13%","3.84%","15.93%","-","1,961.18","1,827.86","38.90","75.73%","87.50%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","496.55","-1.09%","501.00","11,79,233","54,016.11","38.29","9.62","670.33","500.00","-11.24%","-15.87%","-18.20%","-58.48%","137.74%","4.51","0.66%","1.75%","15.86%","25.98","556.68","585.09","26.82","75.00%","87.50%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","997.70","-3.65%","1,033.60","12,90,288","53,861.49","81.94","17.88","1,141.00","501.15","-4.54%","8.37%","70.77%","187.44%","168.27%","11.63","0.12%","4.09%","12.08%","2.75","1,037.78","836.82","43.11","75.20%","80.00%"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","1,427.30","-1.78%","1,451.80","9,12,298","52,319.47","81.34","34.69","2,096.60","907.00","3.95%","-6.99%","7.38%","205.17%","744.66%","12.62","0.32%","10.97%","10.19%","15.77","1,485.43","1,595.13","42.47","70.06%","83.23%"
